,Job Name,Company,Salary,Rating,New Job,Apply Here
0,Entry Level/Fresher Software Developer,HCL America Inc,"From $65,000 a year",3.7,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARIJ2Bo9Ne0EtqbN9FDl85baaqpD5sXJYF-05mq0UjEbqqdvOLv1_InxclDbXshHFyNyhuvrq7_nAWaQkthVLb0L1spys6-P-gU87LTIeLlJqks52E_VSFDR2EjxUX7c06d19vdlpx8ym_rfnYB9NBprGoqHNuBLpCGg1I-s9cepertT19HhvewPlloNkzwy8REA2LGFvF8vPaskzcREnvXUg8R7C70m6IVr_mKdBIZ7M0cjxqY8v-WdM5nUjIbO2bTDWgSM_UR5UTLXChnaa6edPWuPm-kfP78vYUQ0TOByMewAQkMBfefYI_iEdtkmVY9s_mPNUP1-dwg8dPolvCsqd-EEA-m7M4TPZNvMl1m76-bFc_PZ1Avw6cpOE388gCpGuUlLcAYk3KrbbH_vCuEAMZKLGqp6uRVhgjnw7x6dbegRK1F4HkpbTl3TgFeU_KPv-cVYJOA9jY1YpaFS84HJh9oq9Tx3xEjZUWtSpWJ3G9EfYgecVtV4JkX-4zIiZhpozwl8A7aA==&xkcb=SoD0-_M3aMCHOJQtIJ0LbzkdCdPP&p=0&fvj=1&vjs=3
1,Python Automation,HCL America Inc,"From $112,000 a year",3.7,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARIJ2Bo9Ne0EtqbN9FDl85baaqpD5sXJYF-05mq0UjEbqqdvOLv1_InxclDbXshHFyNyhuvrq7_sgV-ZjhS64LR-pV4E6a2e73lb5fbarc0uh_5GDi_CtP8SO0FabkFFTg1EFqZCEObAAyB0NiPURIZZbq8u9KcTiPNzAWzwgHUvoWD3EbPty6xo6-KSECpoGX6TOjPLA9Cp9-hIlRu_pJfA7-63Wn436RJN3OBjXP_rrW-oz8JhMh99gykTX1Rjc5YJUsljUuFKiscxRX9BYr2EjIrx_pr4k6XAwPlIJ37oeEh-qheRY9qsZhie0Z3xykKnGBQIjg6Bgz9NewN05HFzukJtn8HseW6ztpKiQDXsYay0Vj_oIOgzymziFtehnVQgIqNJRzTXnt1TqDlh8rLKIowKMuVkPwV94ekXJur-8y9mAU5gB1I9hnlfR0OLtQN2S0PD9ntVqF8VA5FBs8zc4dzN0YFpam4fBjd027CQ==&xkcb=SoBp-_M3aMCHOJQtIJ0IbzkdCdPP&p=1&fvj=1&vjs=3
2,Data Analyst with Excel and Python,Formac,$30 - $62 an hour,N/A,No,https://www.indeed.com/company/FORMAC/jobs/Data-Analyst-Excel-Python-f808eb0b31e8468a?fccid=9700547e24b48fe2&vjs=3
3,"Threat Analyst, Adult Nudity & Sexual Activity (ANSA)",TikTok,Not Disclosed,3.3,No,https://www.indeed.com/rc/clk?jk=ea93db9c80d0046c&fccid=caed318a9335aac0&vjs=3
4,Python Developer,Formac,"$90,000 - $135,000 a year",N/A,No,https://www.indeed.com/company/FORMAC/jobs/Python-Developer-87caf34b93cff1ad?fccid=9700547e24b48fe2&vjs=3
5,"Python Developer - Santa Clara, CA (Onsite from Day 1)",Teamware Solutions (quantum leap consulting).,$55 - $60 an hour,N/A,No,https://www.indeed.com/company/Teamware-Solutions-(quantum-leap-consulting)./jobs/Python-Developer-2e491fd1819e5841?fccid=49dc291b3e6eddef&vjs=3
6,Python Developer,vbeyond corp,"$90,000 - $125,000 a year",3.4,Yes,https://www.indeed.com/company/Vbeyond-Corporation/jobs/Python-Developer-01e488872f06439b?fccid=880f4c13656df46d&vjs=3
7,Data Analyst,Milestone,$32 - $40 an hour,N/A,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aic2FNJq_PpCkQ8C7f8kkQfiNvDILPGYFPhiImqsOhVE9kIE0Hm27a4PIqhs3A6nW5lbXZjtm9AG9d_pBFS-wvEPLG0U4rc4J9VNQLbADkyS_YTKuiOQXoP0WnS0vKB0YKk-YT73jsI8E75b-1deTTHxdx0CahDye72XkQR9jz4ThhqsiZy9XYHIcAFykH4RN0D_euqm1z7K5wKqEBwNQDr7-yWyh2VfC18O3UBJ8XC4Ef9a_5IaFmVUTWAr63ii8PLdS6pW_1DL4O4RnMrNXpPzgsNtwmZnQxJx7SQwoV83mDdy9NojRFYOjyRm7Y62t76LC1w6K_skVTJMwSznwgDGgVhmPmd2fQ2bn7BUf-TWGxPnEF8aBW-gJ1KmGLrqPOxXLSqWWcN4TNU2iyJT5-RH4J0K6C47OTN06TkfML2diQbqXe05ujUtTIpK1YyST4VYf_e3XTgdqESxRrWwzfbosL9lEdI3fxFU4B6R_i8w==&xkcb=SoAW-_M3aMCHOJwtIJ0ObzkdCdPP&p=7&fvj=1&vjs=3
8,"Threat Analyst, Network Analysis and Targeted Manipulation",TikTok,Not Disclosed,3.3,Yes,https://www.indeed.com/rc/clk?jk=2746a0ae374fb2bf&fccid=caed318a9335aac0&vjs=3
9,Software Engineer - Apprentice,wepay,Not Disclosed,4.0,No,https://www.indeed.com/rc/clk?jk=4d532361313682c1&fccid=62ed771460d18f9d&vjs=3
